bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1351291,2152868,text,123552,application/pdf,Introduced,https://legiscan.com/RI/text/H7943/id/2152868,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7943.pdf
1351477,2153061,text,121464,application/pdf,Introduced,https://legiscan.com/RI/text/H7944/id/2153061,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7944.pdf
1352564,2154848,text,13280,application/pdf,Introduced,https://legiscan.com/RI/text/H7945/id/2154848,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7945.pdf
1355006,2159746,text,127639,application/pdf,Introduced,https://legiscan.com/RI/text/H7949/id/2159746,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7949.pdf
1354957,2159696,text,13159,application/pdf,Introduced,https://legiscan.com/RI/text/H7950/id/2159696,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7950.pdf
1355059,2159799,text,12623,application/pdf,Introduced,https://legiscan.com/RI/text/H7951/id/2159799,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7951.pdf
1354906,2159644,text,25800,application/pdf,Introduced,https://legiscan.com/RI/text/H7952/id/2159644,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7952.pdf
1355110,2159849,text,11099,application/pdf,Introduced,https://legiscan.com/RI/text/H7953/id/2159849,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7953.pdf
1355807,2161434,text,10717,application/pdf,Introduced,https://legiscan.com/RI/text/H7960/id/2161434,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7960.pdf
1355867,2161497,text,118973,application/pdf,Introduced,https://legiscan.com/RI/text/H7961/id/2161497,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7961.pdf
1355925,2161554,text,11403,application/pdf,Introduced,https://legiscan.com/RI/text/H7963/id/2161554,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7963.pdf
1356168,2162275,text,13821,application/pdf,Introduced,https://legiscan.com/RI/text/H7966/id/2162275,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7966.pdf
1356442,2162995,text,119955,application/pdf,Introduced,https://legiscan.com/RI/text/H7971/id/2162995,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7971.pdf
1356492,2163049,text,124117,application/pdf,Introduced,https://legiscan.com/RI/text/H7972/id/2163049,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7972.pdf
1356465,2163020,text,9479,application/pdf,Introduced,https://legiscan.com/RI/text/H7973/id/2163020,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7973.pdf
1358460,2167422,text,124112,application/pdf,Introduced,https://legiscan.com/RI/text/H7981/id/2167422,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7981.pdf
1358418,2167380,text,11224,application/pdf,Introduced,https://legiscan.com/RI/text/H7982/id/2167380,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7982.pdf
1358437,2167398,text,11269,application/pdf,Introduced,https://legiscan.com/RI/text/H7983/id/2167398,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7983.pdf
1358487,2167448,text,22843,application/pdf,Introduced,https://legiscan.com/RI/text/H7984/id/2167448,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7984.pdf
1358507,2167470,text,11400,application/pdf,Introduced,https://legiscan.com/RI/text/H7985/id/2167470,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7985.pdf
1358920,2168716,text,130139,application/pdf,Introduced,https://legiscan.com/RI/text/H7992/id/2168716,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7992.pdf
1358947,2168743,text,120309,application/pdf,Introduced,https://legiscan.com/RI/text/H7993/id/2168743,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7993.pdf
1358892,2168687,text,10849,application/pdf,Introduced,https://legiscan.com/RI/text/H7994/id/2168687,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7994.pdf
1358864,2168659,text,12153,application/pdf,Introduced,https://legiscan.com/RI/text/H7995/id/2168659,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7995.pdf
1359612,2170318,text,121402,application/pdf,Introduced,https://legiscan.com/RI/text/H8006/id/2170318,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8006.pdf
1370478,2194503,text,120993,application/pdf,Introduced,https://legiscan.com/RI/text/H8018/id/2194503,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8018.pdf
1370482,2194507,text,122155,application/pdf,Introduced,https://legiscan.com/RI/text/H8019/id/2194507,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8019.pdf
1370498,2194523,text,9817,application/pdf,Introduced,https://legiscan.com/RI/text/H8020/id/2194523,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8020.pdf
1370512,2194537,text,119716,application/pdf,Introduced,https://legiscan.com/RI/text/H8021/id/2194537,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8021.pdf
1370507,2194532,text,11138,application/pdf,Introduced,https://legiscan.com/RI/text/H8022/id/2194532,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8022.pdf
1370511,2194536,text,10078,application/pdf,Introduced,https://legiscan.com/RI/text/H8023/id/2194536,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8023.pdf
1370474,2194499,text,120264,application/pdf,Introduced,https://legiscan.com/RI/text/H8024/id/2194499,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8024.pdf
